cas_hora_entrada,cas_hora_salida,cas_fecha,fk_persona_empleado
7:37:00,14:46:00,2022-04-26,32
7:37:00,14:46:00,2022-05-25,33
8:25:00,14:46:00,2022-06-26,34
8:25:00,14:46:00,2022-07-22,35
8:25:00,14:46:00,2022-08-23,36
8:25:00,14:46:00,2022-09-24,37
8:25:00,14:46:00,2022-10-26,38
8:25:00,16:25:00,2022-11-25,39
8:25:00,16:25:00,2022-12-25,40
8:25:00,16:25:00,2022-01-25,41
8:25:00,16:25:00,2022-02-26,42
8:25:00,16:25:00,2022-03-25,43
8:25:00,16:25:00,2022-04-26,44
8:25:00,16:25:00,2022-05-25,45
8:25:00,16:25:00,2022-06-26,46
8:25:00,16:25:00,2022-07-22,47
0:00:00,0:00:00,2022-08-23,48
0:00:00,0:00:00,2022-09-24,49
0:00:00,0:00:00,2022-10-26,50
0:00:00,0:00:00,2022-11-25,51
0:00:00,0:00:00,2022-12-25,52
0:00:00,0:00:00,2022-01-25,53
0:00:00,0:00:00,2022-02-26,54
0:00:00,0:00:00,2022-03-25,55
0:00:00,0:00:00,2022-04-26,56
0:00:00,0:00:00,2022-05-25,57
0:00:00,0:00:00,2022-06-26,58
0:00:00,0:00:00,2022-07-22,59
0:00:00,0:00:00,2022-08-23,60
0:00:00,0:00:00,2022-09-24,61
0:00:00,0:00:00,2022-10-26,62
0:00:00,0:00:00,2022-11-25,63
9:46:00,17:19:00,2022-12-25,64
9:46:00,17:19:00,2022-01-25,65
9:46:00,17:19:00,2022-02-26,66
9:46:00,17:19:00,2022-03-25,67
9:46:00,17:19:00,2022-04-26,68
9:46:00,17:19:00,2022-05-25,69
9:46:00,17:19:00,2022-06-26,70
9:46:00,17:19:00,2022-07-22,71
9:46:00,17:19:00,2022-08-23,72
9:46:00,17:19:00,2022-09-24,73
9:46:00,17:19:00,2022-10-26,74
9:46:00,17:19:00,2022-11-25,75
0:00:00,0:00:00,2022-12-25,76
0:00:00,0:00:00,2022-01-25,77
0:00:00,0:00:00,2022-02-26,78
0:00:00,0:00:00,2022-03-25,79
0:00:00,0:00:00,2022-04-26,80
0:00:00,0:00:00,2022-05-25,81
0:00:00,0:00:00,2022-06-26,82
0:00:00,0:00:00,2022-07-22,83
0:00:00,0:00:00,2022-08-23,84
0:00:00,0:00:00,2022-09-24,85
10:11:00,18:30:00,2022-10-26,86
10:11:00,18:30:00,2022-11-25,87
10:11:00,18:30:00,2022-12-25,88
10:11:00,18:30:00,2022-01-25,89
10:11:00,18:30:00,2022-02-26,90
10:11:00,18:30:00,2022-03-25,91
10:11:00,18:30:00,2022-04-26,92
0:00:00,0:00:00,2022-05-25,93
0:00:00,0:00:00,2022-06-26,94
0:00:00,0:00:00,2022-07-22,95
0:00:00,0:00:00,2022-08-23,96
0:00:00,0:00:00,2022-09-24,97
0:00:00,0:00:00,2022-10-26,98
0:00:00,0:00:00,2022-11-25,99
0:00:00,0:00:00,2022-12-25,100
0:00:00,0:00:00,2022-01-25,101
0:00:00,0:00:00,2022-02-26,102
0:00:00,0:00:00,2022-03-25,103
0:00:00,0:00:00,2022-04-26,104
0:00:00,0:00:00,2022-05-25,105
0:00:00,0:00:00,2022-06-26,106
6:34:00,18:30:00,2022-07-22,107
6:34:00,18:30:00,2022-08-23,108
6:34:00,18:30:00,2022-09-24,109
6:34:00,18:30:00,2022-10-26,110
6:34:00,18:30:00,2022-11-25,111
6:34:00,18:30:00,2022-12-25,112
6:34:00,18:30:00,2022-01-25,113
6:34:00,18:30:00,2022-02-26,114
6:34:00,18:30:00,2022-03-25,115
6:34:00,18:30:00,2022-04-26,116
6:34:00,18:30:00,2022-05-25,117
6:34:00,18:30:00,2022-06-26,118
6:34:00,18:30:00,2022-07-22,119
0:00:00,0:00:00,2022-08-23,120
0:00:00,0:00:00,2022-09-24,121
0:00:00,0:00:00,2022-10-26,122
0:00:00,0:00:00,2022-11-25,123
0:00:00,0:00:00,2022-12-25,124
0:00:00,0:00:00,2022-01-25,125
0:00:00,0:00:00,2022-02-26,126
0:00:00,0:00:00,2022-03-25,127
0:00:00,0:00:00,2022-04-26,128
6:57:00,17:45:00,2022-05-25,129
6:57:00,17:45:00,2022-06-26,130
6:57:00,17:45:00,2022-07-22,131
6:57:00,17:45:00,2022-08-23,132
6:57:00,17:45:00,2022-09-24,133
6:57:00,17:45:00,2022-10-26,134
6:57:00,17:45:00,2022-11-25,135
6:57:00,17:45:00,2022-12-25,136
6:57:00,17:45:00,2022-01-25,137
6:57:00,17:45:00,2022-02-26,138
6:57:00,17:45:00,2022-03-25,139
6:57:00,17:45:00,2022-04-26,140
6:57:00,17:45:00,2022-05-25,141
6:57:00,17:45:00,2022-06-26,142
6:57:00,17:45:00,2022-07-22,143
6:57:00,17:45:00,2022-08-23,144
0:00:00,0:00:00,2022-09-24,145
0:00:00,0:00:00,2022-10-26,146
0:00:00,0:00:00,2022-11-25,147
0:00:00,0:00:00,2022-12-25,148
0:00:00,0:00:00,2022-01-25,149
0:00:00,0:00:00,2022-02-26,150
0:00:00,0:00:00,2022-03-25,151
0:00:00,0:00:00,2022-04-26,152
0:00:00,0:00:00,2022-05-25,153
0:00:00,0:00:00,2022-06-26,154
7:14:00,17:17:00,2022-07-22,155
7:14:00,17:17:00,2022-08-23,156
7:14:00,17:17:00,2022-09-24,157
7:14:00,17:17:00,2022-10-26,158
7:14:00,17:17:00,2022-11-25,159
7:14:00,17:17:00,2022-12-25,160
7:14:00,17:17:00,2022-01-25,161
7:14:00,17:17:00,2022-02-26,162
7:14:00,17:17:00,2022-03-25,163
7:14:00,17:17:00,2022-04-26,164
7:14:00,17:17:00,2022-05-25,165
7:14:00,17:17:00,2022-06-26,166
7:14:00,17:17:00,2022-07-22,167
7:14:00,17:17:00,2022-08-23,168
7:14:00,17:17:00,2022-09-24,169
7:14:00,17:17:00,2022-10-26,170
7:14:00,17:17:00,2022-11-25,171
7:14:00,17:17:00,2022-12-25,172
7:14:00,17:17:00,2022-01-25,173
7:14:00,17:17:00,2022-02-26,174
7:14:00,17:17:00,2022-03-25,175
7:14:00,17:17:00,2022-04-26,176
0:00:00,0:00:00,2022-05-25,177
0:00:00,0:00:00,2022-06-26,178
8:31:00,18:39:00,2022-07-22,179
8:31:00,18:39:00,2022-08-23,180
8:31:00,18:39:00,2022-09-24,181
8:31:00,18:39:00,2022-10-26,182
8:31:00,18:39:00,2022-11-25,183
8:31:00,18:39:00,2022-12-25,184
8:31:00,18:39:00,2022-01-25,185
8:31:00,18:39:00,2022-02-26,186
8:31:00,18:39:00,2022-03-25,187
8:31:00,18:39:00,2022-04-26,188
8:31:00,18:39:00,2022-05-25,189
8:31:00,18:39:00,2022-06-26,190
8:31:00,18:39:00,2022-07-22,191
8:31:00,18:39:00,2022-08-23,192
8:31:00,18:39:00,2022-09-24,193
8:31:00,18:39:00,2022-10-26,194
8:31:00,18:39:00,2022-11-25,195
8:31:00,18:39:00,2022-12-25,196
0:00:00,0:00:00,2022-01-25,197
0:00:00,0:00:00,2022-02-26,198
0:00:00,0:00:00,2022-03-25,199
0:00:00,0:00:00,2022-04-26,200
0:00:00,0:00:00,2022-05-25,201
5:56:00,16:14:00,2022-06-26,202
5:56:00,16:14:00,2022-07-22,203
5:56:00,16:14:00,2022-08-23,204
5:56:00,16:14:00,2022-09-24,205
5:56:00,16:14:00,2022-10-26,206
5:56:00,16:14:00,2022-11-25,207
5:56:00,16:14:00,2022-12-25,208
5:56:00,16:14:00,2022-01-25,209
5:56:00,16:14:00,2022-02-26,210
5:56:00,16:14:00,2022-03-25,211
5:56:00,16:14:00,2022-04-26,212
5:56:00,16:14:00,2022-05-25,213
5:56:00,16:14:00,2022-06-26,214
5:56:00,16:14:00,2022-07-22,215
5:56:00,16:14:00,2022-08-23,216
5:56:00,16:14:00,2022-09-24,217
5:56:00,16:14:00,2022-10-26,218
5:56:00,16:14:00,2022-11-25,219
5:56:00,16:14:00,2022-12-25,220
5:56:00,16:14:00,2022-01-25,221
5:56:00,16:14:00,2022-02-26,222
5:56:00,16:14:00,2022-03-25,223
5:56:00,16:14:00,2022-04-26,224
5:56:00,16:14:00,2022-05-25,225
5:56:00,16:14:00,2022-06-26,226
5:56:00,16:14:00,2022-07-22,227
5:56:00,16:14:00,2022-08-23,228
5:56:00,16:14:00,2022-09-24,229
5:56:00,16:14:00,2022-10-26,230
0:00:00,0:00:00,2022-11-25,231
0:00:00,0:00:00,2022-12-25,232
0:00:00,0:00:00,2022-01-25,233
0:00:00,0:00:00,2022-02-26,234
0:00:00,0:00:00,2022-03-25,235
0:00:00,0:00:00,2022-04-26,236
0:00:00,0:00:00,2022-05-25,237
0:00:00,0:00:00,2022-06-26,238
0:00:00,0:00:00,2022-07-22,239
0:00:00,0:00:00,2022-08-23,240
0:00:00,0:00:00,2022-09-24,241
8:03:00,16:48:00,2022-10-26,242
8:03:00,16:48:00,2022-11-25,243
8:03:00,16:48:00,2022-12-25,244
8:03:00,16:48:00,2022-01-25,245
8:03:00,16:48:00,2022-02-26,246
8:03:00,16:48:00,2022-03-25,247
8:03:00,16:48:00,2022-04-26,248
8:03:00,16:48:00,2022-05-25,249
8:03:00,16:48:00,2022-06-26,250
8:03:00,16:48:00,2022-07-22,251
8:03:00,16:48:00,2022-08-23,252
8:03:00,16:48:00,2022-09-24,253
8:03:00,16:48:00,2022-10-26,254
8:03:00,16:48:00,2022-11-25,255
8:03:00,16:48:00,2022-12-25,256
8:03:00,16:48:00,2022-01-25,257
8:03:00,16:48:00,2022-02-26,258
8:03:00,16:48:00,2022-03-25,259
8:03:00,16:48:00,2022-04-26,260
8:03:00,16:48:00,2022-05-25,261
8:03:00,16:48:00,2022-06-26,262
8:03:00,16:48:00,2022-07-22,263
8:03:00,16:48:00,2022-08-23,264
0:00:00,0:00:00,2022-09-24,265
0:00:00,0:00:00,2022-10-26,266
0:00:00,0:00:00,2022-11-25,267
0:00:00,0:00:00,2022-12-25,268
0:00:00,0:00:00,2022-01-25,269
0:00:00,0:00:00,2022-02-26,270
0:00:00,0:00:00,2022-03-25,271
0:00:00,0:00:00,2022-04-26,272
0:00:00,0:00:00,2022-05-25,273
0:00:00,0:00:00,2022-06-26,274
0:00:00,0:00:00,2022-07-22,275
8:56:00,16:15:00,2022-08-23,276
8:56:00,16:15:00,2022-09-24,277
8:56:00,16:15:00,2022-10-26,278
8:56:00,16:15:00,2022-11-25,279
8:56:00,16:15:00,2022-12-25,280
8:56:00,16:15:00,2022-01-25,281
8:56:00,16:15:00,2022-02-26,282
8:56:00,16:15:00,2022-03-25,283
8:56:00,16:15:00,2022-04-26,284
8:56:00,16:15:00,2022-05-25,285
8:56:00,16:15:00,2022-06-26,286
8:56:00,16:15:00,2022-07-22,287
8:56:00,16:15:00,2022-08-23,288
8:56:00,16:15:00,2022-09-24,289
0:00:00,0:00:00,2022-10-26,290
0:00:00,0:00:00,2022-11-25,291
0:00:00,0:00:00,2022-12-25,292
0:00:00,0:00:00,2022-01-25,293
10:04:00,18:48:00,2022-02-26,294
10:04:00,18:48:00,2022-03-25,295
10:04:00,18:48:00,2022-04-26,296
10:04:00,18:48:00,2022-05-25,297
10:04:00,18:48:00,2022-06-26,298
10:04:00,18:48:00,2022-07-22,299
10:04:00,18:48:00,2022-08-23,300
10:04:00,18:48:00,2022-09-24,301
0:00:00,0:00:00,2022-10-26,302
5:19:00,19:26:00,2022-11-25,303
5:19:00,19:26:00,2022-12-25,304
5:19:00,19:26:00,2022-01-25,305
5:19:00,19:26:00,2022-02-26,306
5:19:00,19:26:00,2022-03-25,307
0:00:00,0:00:00,2022-04-26,308
0:00:00,0:00:00,2022-05-25,309
0:00:00,0:00:00,2022-06-26,310
0:00:00,0:00:00,2022-07-22,311
7:41:00,15:19:00,2022-08-23,312
7:41:00,15:19:00,2022-09-24,313
7:41:00,15:19:00,2022-10-26,314
7:41:00,15:19:00,2022-11-25,315
7:41:00,15:19:00,2022-12-25,316
7:41:00,15:19:00,2022-01-25,317
7:41:00,15:19:00,2022-02-26,318
7:41:00,15:19:00,2022-03-25,319
7:41:00,15:19:00,2022-04-26,320
0:00:00,0:00:00,2022-05-25,321
0:00:00,0:00:00,2022-06-26,322
0:00:00,0:00:00,2022-07-22,323
5:56:00,17:39:00,2022-08-23,324
5:56:00,17:39:00,2022-09-24,325
0:00:00,0:00:00,2022-10-26,326
5:56:00,17:39:00,2022-11-25,327
5:56:00,17:39:00,2022-12-25,328
5:56:00,17:39:00,2022-01-25,329
5:56:00,17:39:00,2022-02-26,330
5:56:00,17:39:00,2022-03-25,331
5:56:00,17:39:00,2022-04-26,332
5:56:00,17:39:00,2022-05-25,333
5:56:00,17:39:00,2022-06-26,334
5:56:00,17:39:00,2022-07-22,335
5:56:00,17:39:00,2022-08-23,336
5:56:00,17:39:00,2022-09-24,337
0:00:00,0:00:00,2022-10-26,338
6:37:00,16:09:00,2022-11-25,339
6:37:00,16:09:00,2022-12-25,340
6:37:00,16:09:00,2022-01-25,341
6:37:00,16:09:00,2022-02-26,342
6:37:00,16:09:00,2022-03-25,343
6:37:00,16:09:00,2022-04-26,344
6:37:00,16:09:00,2022-05-25,345
0:00:00,0:00:00,2022-06-26,346
0:00:00,0:00:00,2022-07-22,347
0:00:00,0:00:00,2022-08-23,348
0:00:00,0:00:00,2022-09-24,349
0:00:00,0:00:00,2022-10-26,350
0:00:00,0:00:00,2022-11-25,351
0:00:00,0:00:00,2022-12-25,352
7:11:00,15:26:00,2022-01-25,353
7:11:00,15:26:00,2022-02-26,354
7:11:00,15:26:00,2022-03-25,355
7:11:00,15:26:00,2022-04-26,356
7:11:00,15:26:00,2022-05-25,357
7:11:00,15:26:00,2022-06-26,358
7:11:00,15:26:00,2022-07-22,359
7:11:00,15:26:00,2022-08-23,360
7:11:00,15:26:00,2022-09-24,361
7:11:00,15:26:00,2022-10-26,362
0:00:00,0:00:00,2022-11-25,363
7:24:00,16:01:00,2022-12-25,364
7:24:00,16:01:00,2022-01-25,365
7:24:00,16:01:00,2022-02-26,366
7:24:00,16:01:00,2022-03-25,367
0:00:00,0:00:00,2022-04-26,368
7:56:00,16:22:00,2022-05-25,369
7:56:00,16:22:00,2022-06-26,370
7:56:00,16:22:00,2022-07-22,371
7:56:00,16:22:00,2022-08-23,372
7:56:00,16:22:00,2022-09-24,373
7:56:00,16:22:00,2022-10-26,374
7:56:00,16:22:00,2022-11-25,375
7:56:00,16:22:00,2022-12-25,376
7:56:00,16:22:00,2022-07-29,377
0:00:00,0:00:00,2022-07-29,378
0:00:00,0:00:00,2022-07-29,379
7:56:00,16:22:00,2022-07-29,380
7:56:00,16:22:00,2022-07-29,381
7:56:00,16:22:00,2022-07-29,382
0:00:00,0:00:00,2022-07-29,383
0:00:00,0:00:00,2022-07-29,384
0:00:00,0:00:00,2022-07-29,385
0:00:00,0:00:00,2022-07-29,386
9:15:00,17:56:00,2022-07-30,387
9:15:00,17:56:00,2022-07-30,388
9:15:00,17:56:00,2022-07-30,389
9:15:00,17:56:00,2022-07-30,390
9:15:00,17:56:00,2022-01-25,391
9:15:00,17:56:00,2022-02-26,392
9:15:00,17:56:00,2022-03-25,393
9:15:00,17:56:00,2022-04-26,394
9:15:00,17:56:00,2022-05-25,395
9:15:00,17:56:00,2022-06-26,396
0:00:00,0:00:00,2022-07-22,397
0:00:00,0:00:00,2022-08-23,398
0:00:00,0:00:00,2022-09-24,399
0:00:00,0:00:00,2022-10-26,400
0:00:00,0:00:00,2022-11-25,401
0:00:00,0:00:00,2022-12-25,402
0:00:00,0:00:00,2022-07-30,403
0:00:00,0:00:00,2022-07-30,404
10:31:00,16:43:00,2022-07-30,405
10:31:00,16:43:00,2022-07-30,406
10:31:00,16:43:00,2022-07-30,407
10:31:00,16:43:00,2022-07-30,408
10:31:00,16:43:00,2022-07-30,409
6:31:00,19:43:00,2022-07-27,410
0:00:00,0:00:00,2022-07-28,410
11:12:00,14:21:00,2022-07-29,410
11:12:00,14:21:00,2022-07-30,410
